Abbreviation,Name
天达控股深圳,中集天达控股（深圳）有限公司
天达控股香港,"中集天达控股有限公司
（原：中国消防集团企业控股有限公司）                   
CIMC-TianDa Holdings Company Limited"
万承科技,"万承科技有限公司
（原：万盛科技有限公司）
Wang Sing Technology Limited"
中国消防,"中国消防企业集团有限公司
（原：盈亚国际贸易有限公司)
China Fire Safety Enterprise Group Limited"
萃联集团,"萃联集团有限公司                 
Allied Best Holdings Limited"
萃联（中国）,萃联（中国）消防设备制造有限公司
中消装备,"中消装备投资有限公司     
CFE Appliances Investment Company Limited"
四川川消,四川川消消防车辆制造有限公司
中集智慧消防,"四川中集智慧消防科技有限公司
（原：四川川消汽车服务有限公司）"
PGL,Pteris Global Ltd
IRIPL,Inter-Roller Investments Pte. Ltd.
IRES,Inter-Roller Engineering Services Pte. Ltd
PGSG,Pteris Global (Singapore) Pte. Ltd.
AMPL,AeroMobiles Pte. Ltd.
PGSB,Pteris Global Sdn. Bhd
IRME,CIMC Pteris Middle East LLC
PGBJ,Pteris Global (Beijing) Ltd.
PGSZ,Pteris Global (Suzhou) Ltd.
PGIN,Pteris Global (India) Pte Ltd
PGUS,Pteris Global (USA) Inc.
PGCA,Pteris Global (Canada) Inc
Air Marrel,CIMC Air Marrel SAS
天达空港,深圳中集天达空港设备有限公司
民航协发,民航协发机场设备有限公司
天达物流,深圳中集天达物流系统工程有限公司
廊坊空港,廊坊中集空港设备有限公司
昆山物流设备,昆山中集物流自动化设备有限公司
郑州金特,郑州金特物流自动化系统有限公司
天达(龙岩)投资,中集天达(龙岩)投资发展有限公司
天达香港,中集天达空港设备(香港)有限公司
天达俄罗斯,Russia-Tianda Ltd.
天达吉荣,深圳中集天达吉荣航空制冷有限公司
中集车库,深圳中集智能停车有限公司
天达荷兰控股,CIMC-TIANDA Netherlands Coöperatief U.A
天达荷兰服务,CIMC-TIANDA Airport Services B.V.
天达美国,"CIMC TIANDA USA, INC."
Albert Ziegler GmbH,Albert Ziegler GmbH
"Ziegler Feuerschutz,Rendsburg伦茨堡",Albert Ziegler Feuerschutz GmbH
"Ziegler Verwaltungsgesellschaft,Mulau慕劳",Ziegler Verwaltungsgesellschaft mbH
"Ziegler Feuerwehrgerätetechnik GmbH & Co. KG,Mulau慕劳",Ziegler Feuerwehrgerätetechnik GmbH & Co. KG
"Ziegler Auslandsholding GmbH,Giengen/Brenz金根",Ziegler Auslandsholding GmbH
Ziegler Dutch Holding B.V.，Winschoten/Niederlande,Ziegler Dutch Holding B.V.
"Ziegler Brandweertechniek B.V.,Winschoten/Niederlande温斯霍滕/荷兰",Ziegler Brandweertechniek B.V.
"Visser B.V.,Leeuwarden/Niederlande莱瓦顿/荷兰",Visser B.V.
"Signalis B.V.,Winschoten/Niederlande温斯霍滕/荷兰",Signalis B.V.
"Ziegler d.o.o.,Zagreb/Kroatien萨格勒布/克罗地亚",Ziegler d.o.o.
"Ziegler Italiana S.R.L.,Lana/Italien拉娜/意大利",Ziegler Italiana S.R.L.
"Ziegler Hasičská Technika S.r.o.,Brno/Tschechien布尔诺/捷克",Ziegler Hasičská Technika S.r.o.
深圳齐格勒,齐格勒消防及救援车辆销售服务（深圳）有限公司 
"P.T. Ziegler Indonesia,Jakarta/Indonesien雅加达/印度尼西亚",P.T. Ziegler Indonesia
思蓝公司,Cela S. r. L.
Top Gear,CIMC Top Gear B.V（Dutch）
